grged,4,2016-01-02
ak,1,2016-07-05
grbld,13,2016-07-06
bio,8,2016-07-06
bio,9,2016-07-06
gs,3,2016-07-06
grbld,14,2016-07-07
grbld,15,2016-07-07
bio,5,2016-07-07
gs,8,2016-07-07
ak,9,2016-07-07
grbld,16,2016-07-08
bio,4,2016-07-08
bio,6,2016-07-08
gs,5,2016-07-08
grged,1,2016-07-11
grged,2,2016-07-11
bio,10,2016-07-11
gs,4,2016-07-11
ak,6,2016-07-11
grged,3,2016-07-12
bio,11,2016-07-12
bio,12,2016-07-12
gs,10,2016-07-12
grged,8,2016-07-13
grged,9,2016-07-13
bio,13,2016-07-13
gs,11,2016-07-13
ak,12,2016-07-13
grged,5,2016-07-14
bio,14,2016-07-14
bio,15,2016-07-14
gs,13,2016-07-14
grged,4,2016-07-15
grged,6,2016-07-15
bio,16,2016-07-15
gs,14,2016-07-15
ak,15,2016-07-15
grged,10,2016-07-18
bio,1,2016-07-18
bio,2,2016-07-18
ak,16,2016-07-18
grged,11,2016-07-19
grged,12,2016-07-19
bio,3,2016-07-19
gs,1,2016-07-19
ak,2,2016-07-19
grged,13,2016-07-20
bio,8,2016-07-20
bio,9,2016-07-20
ak,3,2016-07-20
grged,14,2016-07-21
grged,15,2016-07-21
bio,5,2016-07-21
gs,9,2016-07-21
ak,8,2016-07-21
grged,16,2016-07-22
bio,4,2016-07-22
bio,6,2016-07-22
ak,5,2016-07-22
grbld,1,2016-07-25
grbld,2,2016-07-25
bio,10,2016-07-25
gs,6,2016-07-25
ak,4,2016-07-25
grbld,3,2016-07-26
bio,11,2016-07-26
bio,12,2016-07-26
ak,10,2016-07-26
grbld,8,2016-07-27
grbld,9,2016-07-27
bio,13,2016-07-27
gs,12,2016-07-27
ak,11,2016-07-27
grbld,5,2016-07-28
bio,14,2016-07-28
bio,15,2016-07-28
ak,13,2016-07-28
grbld,4,2016-07-29
grbld,6,2016-07-29
bio,16,2016-07-29
gs,15,2016-07-29
ak,14,2016-07-29
grbld,10,2016-08-01
bio,1,2016-08-01
bio,2,2016-08-01
gs,16,2016-08-01
grbld,11,2016-08-02
grbld,12,2016-08-02
bio,3,2016-08-02
gs,2,2016-08-02
ak,1,2016-08-02
grbld,13,2016-08-03
bio,8,2016-08-03
bio,9,2016-08-03
gs,3,2016-08-03
grbld,14,2016-08-04
grbld,15,2016-08-04
bio,5,2016-08-04
gs,8,2016-08-04
ak,9,2016-08-04
grbld,16,2016-08-05
bio,4,2016-08-05
bio,6,2016-08-05
gs,5,2016-08-05
grged,1,2016-08-08
grged,2,2016-08-08
bio,10,2016-08-08
gs,4,2016-08-08
ak,6,2016-08-08
grged,3,2016-08-09
bio,11,2016-08-09
bio,12,2016-08-09
gs,10,2016-08-09
grged,8,2016-08-10
grged,9,2016-08-10
bio,13,2016-08-10
gs,11,2016-08-10
ak,12,2016-08-10
grged,5,2016-08-11
bio,14,2016-08-11
bio,15,2016-08-11
gs,13,2016-08-11
grged,4,2016-08-12
grged,6,2016-08-12
bio,16,2016-08-12
gs,14,2016-08-12
ak,15,2016-08-12
grged,10,2016-08-15
bio,1,2016-08-15
bio,2,2016-08-15
ak,16,2016-08-15
grged,11,2016-08-16
grged,12,2016-08-16
bio,3,2016-08-16
gs,1,2016-08-16
ak,2,2016-08-16
grged,13,2016-08-17
bio,8,2016-08-17
bio,9,2016-08-17
ak,3,2016-08-17
grged,14,2016-08-18
grged,15,2016-08-18
bio,5,2016-08-18
gs,9,2016-08-18
ak,8,2016-08-18
grged,16,2016-08-19
bio,4,2016-08-19
bio,6,2016-08-19
ak,5,2016-08-19
grbld,1,2016-08-22
grbld,2,2016-08-22
bio,10,2016-08-22
gs,6,2016-08-22
ak,4,2016-08-22
grbld,3,2016-08-23
bio,11,2016-08-23
bio,12,2016-08-23
ak,10,2016-08-23
grbld,8,2016-08-24
grbld,9,2016-08-24
bio,13,2016-08-24
gs,12,2016-08-24
ak,11,2016-08-24
grbld,5,2016-08-25
bio,14,2016-08-25
bio,15,2016-08-25
ak,13,2016-08-25
grbld,4,2016-08-26
grbld,6,2016-08-26
bio,16,2016-08-26
gs,15,2016-08-26
ak,14,2016-08-26
grbld,10,2016-08-29
bio,1,2016-08-29
bio,2,2016-08-29
gs,16,2016-08-29
grbld,11,2016-08-30
grbld,12,2016-08-30
bio,3,2016-08-30
gs,2,2016-08-30
ak,1,2016-08-30
grbld,13,2016-08-31
bio,8,2016-08-31
bio,9,2016-08-31
gs,3,2016-08-31
grbld,14,2016-09-01
grbld,15,2016-09-01
bio,5,2016-09-01
gs,8,2016-09-01
ak,9,2016-09-01
grbld,16,2016-09-02
bio,4,2016-09-02
bio,6,2016-09-02
gs,5,2016-09-02
grged,1,2016-09-05
grged,2,2016-09-05
bio,10,2016-09-05
gs,4,2016-09-05
ak,6,2016-09-05
grged,3,2016-09-06
bio,11,2016-09-06
bio,12,2016-09-06
gs,10,2016-09-06
grged,8,2016-09-07
grged,9,2016-09-07
bio,13,2016-09-07
gs,11,2016-09-07
ak,12,2016-09-07
grged,5,2016-09-08
bio,14,2016-09-08
bio,15,2016-09-08
gs,13,2016-09-08
grged,4,2016-09-09
grged,6,2016-09-09
bio,16,2016-09-09
gs,14,2016-09-09
ak,15,2016-09-09
grged,10,2016-09-12
bio,1,2016-09-12
bio,2,2016-09-12
ak,16,2016-09-12
grged,11,2016-09-13
grged,12,2016-09-13
bio,3,2016-09-13
gs,1,2016-09-13
ak,2,2016-09-13
grged,13,2016-09-14
bio,8,2016-09-14
bio,9,2016-09-14
ak,3,2016-09-14
grged,14,2016-09-15
grged,15,2016-09-15
bio,5,2016-09-15
gs,9,2016-09-15
ak,8,2016-09-15
grged,16,2016-09-16
bio,4,2016-09-16
bio,6,2016-09-16
ak,5,2016-09-16
grbld,1,2016-09-19
grbld,2,2016-09-19
bio,10,2016-09-19
gs,6,2016-09-19
ak,4,2016-09-19
grbld,3,2016-09-20
bio,11,2016-09-20
bio,12,2016-09-20
ak,10,2016-09-20
grbld,8,2016-09-21
grbld,9,2016-09-21
bio,13,2016-09-21
gs,12,2016-09-21
ak,11,2016-09-21
grbld,5,2016-09-22
bio,14,2016-09-22
bio,15,2016-09-22
ak,13,2016-09-22
grbld,4,2016-09-23
grbld,6,2016-09-23
bio,16,2016-09-23
gs,15,2016-09-23
ak,14,2016-09-23
grbld,10,2016-09-26
bio,1,2016-09-26
bio,2,2016-09-26
gs,16,2016-09-26
grbld,11,2016-09-27
grbld,12,2016-09-27
bio,3,2016-09-27
gs,2,2016-09-27
ak,1,2016-09-27
grbld,13,2016-09-28
bio,8,2016-09-28
bio,9,2016-09-28
gs,3,2016-09-28
grbld,14,2016-09-29
grbld,15,2016-09-29
bio,5,2016-09-29
gs,8,2016-09-29
ak,9,2016-09-29
grbld,16,2016-09-30
bio,4,2016-09-30
bio,6,2016-09-30
gs,5,2016-09-30
grged,1,2016-10-04
grged,2,2016-10-04
bio,10,2016-10-04
gs,4,2016-10-04
ak,6,2016-10-04
grged,3,2016-10-05
bio,11,2016-10-05
bio,12,2016-10-05
gs,10,2016-10-05
grged,8,2016-10-06
grged,9,2016-10-06
bio,13,2016-10-06
gs,11,2016-10-06
ak,12,2016-10-06
grged,5,2016-10-07
bio,14,2016-10-07
bio,15,2016-10-07
gs,13,2016-10-07
grged,4,2016-10-08
grged,6,2016-10-08
bio,16,2016-10-08
gs,14,2016-10-08
ak,15,2016-10-08
grged,10,2016-10-10
bio,1,2016-10-10
bio,2,2016-10-10
ak,16,2016-10-10
grged,11,2016-10-11
grged,12,2016-10-11
bio,3,2016-10-11
gs,1,2016-10-11
ak,2,2016-10-11
grged,13,2016-10-12
bio,8,2016-10-12
bio,9,2016-10-12
ak,3,2016-10-12
grged,14,2016-10-13
grged,15,2016-10-13
bio,5,2016-10-13
gs,9,2016-10-13
ak,8,2016-10-13
grged,16,2016-10-14
bio,4,2016-10-14
bio,6,2016-10-14
ak,5,2016-10-14
grbld,1,2016-10-17
grbld,2,2016-10-17
bio,10,2016-10-17
gs,6,2016-10-17
ak,4,2016-10-17
grbld,3,2016-10-18
bio,11,2016-10-18
bio,12,2016-10-18
ak,10,2016-10-18
grbld,8,2016-10-19
grbld,9,2016-10-19
bio,13,2016-10-19
gs,12,2016-10-19
ak,11,2016-10-19
grbld,5,2016-10-20
bio,14,2016-10-20
bio,15,2016-10-20
ak,13,2016-10-20
grbld,4,2016-10-21
grbld,6,2016-10-21
bio,16,2016-10-21
gs,15,2016-10-21
ak,14,2016-10-21
grbld,10,2016-10-24
bio,1,2016-10-24
bio,2,2016-10-24
gs,16,2016-10-24
grbld,11,2016-10-25
grbld,12,2016-10-25
bio,3,2016-10-25
gs,2,2016-10-25
ak,1,2016-10-25
grbld,13,2016-10-26
bio,8,2016-10-26
bio,9,2016-10-26
gs,3,2016-10-26
grbld,14,2016-10-27
grbld,15,2016-10-27
bio,5,2016-10-27
gs,8,2016-10-27
ak,9,2016-10-27
grbld,16,2016-10-28
bio,4,2016-10-28
bio,6,2016-10-28
gs,5,2016-10-28
grged,1,2016-10-31
grged,2,2016-10-31
bio,10,2016-10-31
gs,4,2016-10-31
ak,6,2016-10-31
grged,3,2016-11-02
bio,11,2016-11-02
bio,12,2016-11-02
gs,10,2016-11-02
grged,8,2016-11-03
grged,9,2016-11-03
bio,13,2016-11-03
gs,11,2016-11-03
ak,12,2016-11-03
grged,5,2016-11-04
bio,14,2016-11-04
bio,15,2016-11-04
gs,13,2016-11-04
grged,4,2016-11-05
grged,6,2016-11-05
bio,16,2016-11-05
gs,14,2016-11-05
ak,15,2016-11-05
grged,10,2016-11-07
bio,1,2016-11-07
bio,2,2016-11-07
ak,16,2016-11-07
grged,11,2016-11-08
grged,12,2016-11-08
bio,3,2016-11-08
gs,1,2016-11-08
ak,2,2016-11-08
grged,13,2016-11-09
bio,8,2016-11-09
bio,9,2016-11-09
ak,3,2016-11-09
grged,14,2016-11-10
grged,15,2016-11-10
bio,5,2016-11-10
gs,9,2016-11-10
ak,8,2016-11-10
grged,16,2016-11-11
bio,4,2016-11-11
bio,6,2016-11-11
ak,5,2016-11-11
grbld,1,2016-11-14
grbld,2,2016-11-14
bio,10,2016-11-14
gs,6,2016-11-14
ak,4,2016-11-14
grbld,3,2016-11-15
bio,11,2016-11-15
bio,12,2016-11-15
ak,10,2016-11-15
grbld,8,2016-11-16
grbld,9,2016-11-16
bio,13,2016-11-16
gs,12,2016-11-16
ak,11,2016-11-16
grbld,5,2016-11-17
bio,14,2016-11-17
bio,15,2016-11-17
ak,13,2016-11-17
grbld,4,2016-11-18
grbld,6,2016-11-18
bio,16,2016-11-18
gs,15,2016-11-18
ak,14,2016-11-18
grbld,10,2016-11-21
bio,1,2016-11-21
bio,2,2016-11-21
gs,16,2016-11-21
grbld,11,2016-11-22
grbld,12,2016-11-22
bio,3,2016-11-22
gs,2,2016-11-22
ak,1,2016-11-22
grbld,13,2016-11-23
bio,8,2016-11-23
bio,9,2016-11-23
gs,3,2016-11-23
grbld,14,2016-11-24
grbld,15,2016-11-24
bio,5,2016-11-24
gs,8,2016-11-24
ak,9,2016-11-24
grbld,16,2016-11-25
bio,4,2016-11-25
bio,6,2016-11-25
gs,5,2016-11-25
grged,1,2016-11-28
grged,2,2016-11-28
bio,10,2016-11-28
gs,4,2016-11-28
ak,6,2016-11-28
grged,3,2016-11-29
bio,11,2016-11-29
bio,12,2016-11-29
gs,10,2016-11-29
grged,8,2016-11-30
grged,9,2016-11-30
bio,13,2016-11-30
gs,11,2016-11-30
ak,12,2016-11-30
grged,5,2016-12-01
bio,14,2016-12-01
bio,15,2016-12-01
gs,13,2016-12-01
grged,4,2016-12-02
grged,6,2016-12-02
bio,16,2016-12-02
gs,14,2016-12-02
ak,15,2016-12-02
grged,10,2016-12-05
bio,1,2016-12-05
bio,2,2016-12-05
ak,16,2016-12-05
grged,11,2016-12-06
grged,12,2016-12-06
bio,3,2016-12-06
gs,1,2016-12-06
ak,2,2016-12-06
grged,13,2016-12-07
bio,8,2016-12-07
bio,9,2016-12-07
ak,3,2016-12-07
grged,14,2016-12-08
grged,15,2016-12-08
bio,5,2016-12-08
gs,9,2016-12-08
ak,8,2016-12-08
grged,16,2016-12-09
bio,4,2016-12-09
bio,6,2016-12-09
ak,5,2016-12-09
grbld,1,2016-12-12
grbld,2,2016-12-12
bio,10,2016-12-12
gs,6,2016-12-12
ak,4,2016-12-12
grbld,3,2016-12-13
bio,11,2016-12-13
bio,12,2016-12-13
ak,10,2016-12-13
grbld,8,2016-12-14
grbld,9,2016-12-14
bio,13,2016-12-14
gs,12,2016-12-14
ak,11,2016-12-14
grbld,5,2016-12-15
bio,14,2016-12-15
bio,15,2016-12-15
ak,13,2016-12-15
grbld,4,2016-12-16
grbld,6,2016-12-16
bio,16,2016-12-16
gs,15,2016-12-16
ak,14,2016-12-16
grbld,10,2016-12-19
bio,1,2016-12-19
bio,2,2016-12-19
gs,16,2016-12-19
grbld,11,2016-12-20
grbld,12,2016-12-20
bio,3,2016-12-20
gs,2,2016-12-20
ak,1,2016-12-20
grbld,13,2016-12-21
bio,8,2016-12-21
bio,9,2016-12-21
gs,3,2016-12-21
grbld,14,2016-12-22
grbld,15,2016-12-22
bio,5,2016-12-22
gs,8,2016-12-22
ak,9,2016-12-22
grbld,16,2016-12-23
bio,4,2016-12-23
bio,6,2016-12-23
gs,5,2016-12-23
grged,1,2016-12-27
grged,2,2016-12-27
bio,10,2016-12-27
gs,4,2016-12-27
ak,6,2016-12-27
grged,3,2016-12-28
bio,11,2016-12-28
bio,12,2016-12-28
gs,10,2016-12-28
grged,8,2016-12-29
grged,9,2016-12-29
bio,13,2016-12-29
gs,11,2016-12-29
ak,12,2016-12-29
grged,5,2016-12-30
bio,14,2016-12-30
bio,15,2016-12-30
gs,13,2016-12-30
grged,4,2016-12-31
grged,6,2016-12-31
bio,16,2016-12-31
gs,14,2016-12-31
ak,15,2016-12-31
grged,10,2017-01-02
bio,1,2017-01-02
bio,2,2017-01-02
ak,16,2017-01-02
grged,11,2017-01-03
grged,12,2017-01-03
bio,3,2017-01-03
gs,1,2017-01-03
ak,2,2017-01-03
grged,13,2017-01-04
bio,8,2017-01-04
bio,9,2017-01-04
ak,3,2017-01-04
grged,14,2017-01-05
grged,15,2017-01-05
bio,5,2017-01-05
gs,9,2017-01-05
ak,8,2017-01-05
grged,16,2017-01-06
bio,4,2017-01-06
bio,6,2017-01-06
ak,5,2017-01-06